study_id,endpoint_id,layer,metric,continuous_value,continuous_dispersion,fragmented_value,fragmented_dispersion,reported_lower_level_n_continuous,reported_lower_level_n_fragmented,independent_unit,effect_unit_status,orientation_multiplier,source_location,effect_unit_note
PS001,I_visitation,I_interaction,visits_per_inflorescence_per_hour,NA,NA,NA,NA,NA,NA,site_with_plants_nested,model_contrast_pending_standardisation,1,"Cristobal-Perez et al. 2021 Fig2A; F1,4=89.25 p<=0.0025","Habitat effect tested with site structure; figure mean/SEM not text-extracted yet; do not infer g from visit counts 1171 vs 489."
PS001,F_fruit_production,F_reproductive_function,fruits_per_branch,22.9,SEM=9.02,12.69,SEM=9.95,NA,NA,site_with_trees_nested,model_contrast_pending_standardisation,1,"Cristobal-Perez et al. 2021 Results 3.2","Reported GLMM habitat test F1,3=5.54 p=0.09; tree/branch observations nested in site."
PS001,F_fruit_set,F_reproductive_function,fruit_set_proportion,0.40,SEM=0.009,0.20,SEM=0.0108,NA,NA,site_with_trees_nested,model_contrast_pending_standardisation,1,"Cristobal-Perez et al. 2021 Results 3.2 Fig2D","Back-transformed binomial mixed-model means; habitat test chi-square=50.26 p=0.0058. Do not treat tree counts as independent site replicates."
PS001,C_pollen_distance,C_movement_connectivity,assigned_pollen_flow_distance_m,209.15,SEM=19.28,44.91,SEM=1.98,104,208,"site_population>maternal_array>assigned_seed",raw_reanalysis_required,1,"Cristobal-Perez et al. 2021 Results 3.4","Assigned offspring are nested paternity events, not independent habitat replicates. Raw/site-level or cluster-aware contrast needed."
PS001,C_paternity_correlation,C_movement_connectivity,multilocus_correlated_paternity,0.550000,SD_between_sites=0.422849855150,0.639333,SD_between_sites=0.090356700545,NA,NA,site,g_admissible,-1,"Cristobal-Perez et al. 2021 Table 3","Five independent site-specific r_p estimates define the fragmentation contrast. Higher r_p means fewer effective sires/lower mating support, hence orientation -1."
PS001,C_effective_sires,C_movement_connectivity,effective_number_of_sires,2.58,SEM=1.4,1.58,SEM=0.15,NA,NA,site,descriptive_only,1,"Cristobal-Perez et al. 2021 Table 3","N_ep=1/r_p is the deterministic reciprocal of the same site-level paternity signal and cannot be admitted alongside r_p as a second independent C effect."
PS001,Gadult_Ho,G_adult,observed_heterozygosity,0.434500,SD_between_sites=0.002121320344,0.372667,SD_between_sites=0.058517803559,308,174,site,g_admissible,1,"Cristobal-Perez et al. 2021 Supplement Appendix B","Appendix B resolves adult H_O at all five sites. Between-site values now support a site-level Hedges-g effect; individual counts and locus SDs remain descriptive lower-level quantities. H_O is the canonical primary G representation."
PS001,Gadult_Fis,G_adult,fixation_index,0.138500,SD_between_sites=0.078488852712,0.309000,SD_between_sites=0.119109193600,308,174,site,g_admissible,-1,"Cristobal-Perez et al. 2021 Supplement Appendix B","Adult F_IS is site-resolved but is an alternate genetic representation. Higher F_IS is deterioration; retain as sensitivity rather than an additional independent G_adult layer."
PS001,Gadult_Sp,G_adult,adult_spatial_genetic_structure_Sp,0.006850,SD_between_sites=0.003606244584,0.004100,SD_between_sites=0.004073082371,NA,NA,site,g_admissible,-1,"Cristobal-Perez et al. 2021 Table 2","Sp is site-resolved structural information. It is retained as structural sensitivity now that Appendix B provides canonical adult H_O; source site b_log nonsignificance is not coded as zero/equivalence."
PS001,Goffspring_juvenile_Ho,G_offspring,juvenile_observed_heterozygosity,0.465000,SD_between_sites=0.066468037432,0.272000,SD_between_sites=0.026664583252,172,70,site,g_admissible,1,"Cristobal-Perez et al. 2021 Supplement Appendix B","Appendix B provides juvenile H_O at all five sites. Site means, not juvenile counts or locus SDs, define the fragmentation effect."
PS001,Goffspring_seed_Ho,G_offspring,seed_observed_heterozygosity,0.462000,SD_between_sites=0.162634559673,0.310667,SD_between_sites=0.036253735440,277,450,site,g_admissible,1,"Cristobal-Perez et al. 2021 Supplement Appendix B","Appendix B provides seed H_O at all five sites. Seed and juvenile cohorts remain distinct dependent outcomes within one ML003 cluster."
PS001,Goffspring_juvenile_F,G_offspring,juvenile_inbreeding_coefficient,0.060000,SD_between_sites=0.074953318806,0.461333,SD_between_sites=0.088007575432,172,70,site,g_admissible,-1,"Cristobal-Perez et al. 2021 Supplement Appendix B","Juvenile F_IS is site-resolved and retained as sensitivity to the H_O representation; higher F_IS is deterioration."
PS001,Goffspring_seed_F,G_offspring,seed_inbreeding_coefficient,0.059500,SD_between_sites=0.000707106781,0.379667,SD_between_sites=0.082367064615,277,450,site,g_admissible,-1,"Cristobal-Perez et al. 2021 Supplement Appendix B","Seed F_IS is site-resolved and retained as sensitivity to the H_O representation; higher F_IS is deterioration."
